Title,Author,Book Subcategory,NYT Ranking,Amz Star ratings,Total_num_of_rating,Amazon Price,ISBN,Publisher,NYT Pub Date,Amazon Product ID
WOKE RACISM,John McWhorter,Hardcover Nonfiction,10,4.6,1155.0,18.01,9780593423066,Portfolio,2021-11-14,0593423062
MIDNIGHT IN WASHINGTON,Adam Schiff,Hardcover Nonfiction,11,4.8,3364.0,19.22,9780593231524,Random House,2021-11-14,059323152X
NOT ALL DIAMONDS AND ROSÉ,Dave Quinn,Hardcover Nonfiction,6,4.4,2581.0,18.79,9781250765789,Andy Cohen,2021-11-14,1250765781
DEAR SANTA,Debbie Macomber,Hardcover Fiction,13,4.6,3829.0,11.99,9781984818812,Ballantine,2021-11-14,B08TGL2689
SILVERVIEW,John Le Carré,Hardcover Fiction,12,4.2,4158.0,14.99,9780593490594,Viking,2021-11-14,B0957T3TLN
FORGIVING PARIS,Karen Kingsbury,Hardcover Fiction,11,4.7,1764.0,12.99,9781982104412,Atria,2021-11-14,B08VJL9XS7
THE FIRST 21,Frank Feranna and Nikki Sixx,Hardcover Nonfiction,8,4.8,1403.0,20.49,9780306923708,Hachette,2021-11-07,030692370X
WHERE THE DEER AND THE ANTELOPE PLAY,Nick Offerman,Hardcover Nonfiction,14,4.5,651.0,0.0,9781101984697,Dutton,2021-11-07,B08ZGG5F12
MUSIC IS HISTORY,Questlove with Ben Greenman,Hardcover Nonfiction,15,4.8,265.0,14.99,9781419751431,Abrams Image,2021-11-07,1419751433
THE BUTLER,Danielle Steel,Hardcover Fiction,15,4.5,5437.0,14.99,9781984821522,Delacorte,2021-11-07,B08SJNJWZL
CROSSROADS,Jonathan Franzen,Hardcover Fiction,13,4.2,3999.0,15.0,9780374181178,"Farrar, Straus & Giroux",2021-11-07,0374181179
IT'S BETTER TO BE FEARED,Seth Wickersham,Hardcover Nonfiction,10,4.6,1058.0,14.99,9781631498237,Liveright,2021-10-31,1631498231
THE DYING CITIZEN,Victor Davis Hanson,Hardcover Nonfiction,15,4.8,1790.0,21.37,9781541647534,Basic,2021-10-31,154164753X
THERE IS NOTHING FOR YOU HERE,Fiona Hill,Hardcover Nonfiction,12,4.6,1273.0,16.99,9780358574316,Mariner,2021-10-31,B08NWT7LZ7
RIGGED,Mollie Hemingway,Hardcover Nonfiction,14,4.8,1781.0,14.99,9781684512591,Regnery,2021-10-31,168451259X
THE JAILHOUSE LAWYER,James Patterson and Nancy Allen,Hardcover Fiction,15,4.5,6458.0,14.99,9780316276627,"Little, Brown",2021-10-31,B08X4C3HKF
THE BOOK OF MAGIC,Alice Hoffman,Hardcover Fiction,8,4.7,2328.0,13.99,9781982151485,Simon & Schuster,2021-10-31,198215148X
BEWILDERMENT,Richard Powers,Hardcover Fiction,11,4.3,3998.0,13.97,9780393881141,Norton,2021-10-24,0393881148
THREE SISTERS,Heather Morris,Hardcover Fiction,12,4.6,3076.0,14.49,9781250276896,St. Martin's,2021-10-24,1250276896
I'LL TAKE YOUR QUESTIONS NOW,Stephanie Grisham,Hardcover Nonfiction,4,4.0,3123.0,12.99,9780063142930,Harper,2021-10-24,B09792ZGYZ
VINCE FLYNN: ENEMY AT THE GATES,Kyle Mills,Hardcover Fiction,15,4.6,13379.0,14.99,9781982164881,Emily Bestler/Atria,2021-10-24,B08VBS7RZX
UNREQUITED INFATUATIONS,Stevie Van Zandt,Hardcover Nonfiction,15,4.6,1232.0,15.5,9780306925429,Hachette,2021-10-24,0306925427
THE BASEBALL 100,Joe Posnanski,Hardcover Nonfiction,14,4.8,805.0,24.49,9781982180584,Avid Reader,2021-10-24,1982180587
A HUNTER-GATHERER'S GUIDE TO THE 21ST CENTURY,Heather Heying and Bret Weinstein,Hardcover Nonfiction,12,4.6,1451.0,0.0,9780593086889,Portfolio,2021-10-24,B08WDN2RZB
BOURDAIN,Laurie Woolever,Hardcover Nonfiction,11,4.6,923.0,0.0,9780062909107,Ecco,2021-10-24,B08TN1C7X3
A CONFEDERACY OF DUMPTYS,John Lithgow,Hardcover Nonfiction,10,4.7,1027.0,16.02,9781797209470,Chronicle Prism,2021-10-24,1797209477
A CARNIVAL OF SNACKERY,David Sedaris,Hardcover Nonfiction,8,4.7,1418.0,0.0,9780316558792,"Little, Brown",2021-10-24,B09BBS56KS
THE LAST GRADUATE,Naomi Novik,Hardcover Fiction,5,4.7,5282.0,13.99,9780593128862,Del Rey,2021-10-17,B08K7KY8Q7
THE MAN WHO DIED TWICE,Richard Osman,Hardcover Fiction,8,4.7,9852.0,13.99,9781984880994,Pamela Dorman,2021-10-17,B08YRM9NBM
THE SANTA SUIT,Mary Kay Andrews,Hardcover Fiction,10,4.5,4139.0,10.99,9781250279316,St. Martin's,2021-10-17,B08ZLN1DDC
NO CURE FOR BEING HUMAN,Kate Bowler,Hardcover Nonfiction,4,4.6,1283.0,22.99,9780593230770,Random House,2021-10-17,0593230779
"YOURS CRUELLY, ELVIRA",Cassandra Peterson,Hardcover Nonfiction,12,4.8,1839.0,0.0,9780306874352,Hachette,2021-10-17,B09DDBJYFZ
MY LIFE IN FULL,Indra Nooyi,Hardcover Nonfiction,13,4.7,834.0,13.99,9780593191798,Portfolio,2021-10-17,059319179X
RATIONALITY,Steven Pinker,Hardcover Nonfiction,9,4.4,589.0,15.99,9780525561996,Viking,2021-10-17,0525561994
YOU GOT ANYTHING STRONGER?,Gabrielle Union with Kevin Carr O’Leary,Hardcover Nonfiction,6,4.7,1115.0,0.0,9780062979933,Dey Street,2021-10-10,B0944CQT53
UNDER THE WHISPERING DOOR,TJ Klune,Hardcover Fiction,4,4.5,3085.0,13.99,9781250217349,Tor,2021-10-10,B0879GPLKD
DAUGHTER OF THE MORNING STAR,Craig Johnson,Hardcover Fiction,10,4.7,5279.0,14.99,9780593297254,Viking,2021-10-10,B08Y6D74GY
FORGOTTEN IN DEATH,J.D. Robb,Hardcover Fiction,13,4.8,13793.0,9.99,9781250272812,St. Martin's,2021-10-10,B08R2KNYVW
UNCONTROLLED SPREAD,Scott Gottlieb,Hardcover Nonfiction,5,4.6,505.0,20.7,9780063080010,Harper,2021-10-10,006308001X
UNBOUND,Tarana Burke,Hardcover Nonfiction,10,4.8,840.0,0.0,9781250621733,Flatiron,2021-10-10,B08YBVW6G4
COUNTDOWN BIN LADEN,Chris Wallace with Mitch Weiss,Hardcover Nonfiction,7,4.6,1661.0,13.99,9781982176525,Avid Reader,2021-10-10,1982176520
HOW TO SAVE A LIFE,Lynette Rice,Hardcover Nonfiction,14,4.4,822.0,14.99,9781250272003,St. Martin's,2021-10-10,1250272009
FUZZ,Mary Roach,Hardcover Nonfiction,8,4.5,1233.0,12.99,9781324001935,Norton,2021-10-10,1324001933
THE PAPER PALACE,Miranda Cowley Heller,Hardcover Fiction,15,4.2,18170.0,13.99,9780593329825,Riverhead,2021-10-10,B08NFT8N8F
THE LONG SLIDE,Tucker Carlson,Hardcover Nonfiction,15,4.8,2366.0,0.0,9781501183690,Threshold Editions,2021-10-10,B096GCMFGD
THE MADNESS OF CROWDS,Louise Penny,Hardcover Fiction,14,4.5,19771.0,14.0,9781250145260,Minotaur,2021-10-10,1250145260
THE SPECKLED BEAUTY,Rick Bragg,Hardcover Nonfiction,9,4.8,1127.0,12.99,9780525658818,Knopf,2021-10-10,0525658815
THE WISDOM OF CROWDS,Joe Abercrombie,Hardcover Fiction,15,4.7,3355.0,0.0,9780316187244,Orbit,2021-10-03,B09BNZKPTY
MALIBU RISING,Taylor Jenkins Reid,Hardcover Fiction,14,4.2,26103.0,13.99,9781524798659,Ballantine,2021-10-03,B08HY4KKB5
MATRIX,Lauren Groff,Hardcover Fiction,12,4.2,3343.0,13.99,9781594634499,Riverhead,2021-10-03,1594634491
EMPIRE OF THE VAMPIRE,Jay Kristoff,Hardcover Fiction,8,4.7,1483.0,14.99,9781250245281,St. Martin's,2021-10-03,1250245281
BEAUTIFUL COUNTRY,Qian Julie Wang,Hardcover Nonfiction,14,4.4,2126.0,0.0,9780385547215,Doubleday,2021-10-03,B08SMRHW4C
WHERE TOMORROWS AREN'T PROMISED,Carmelo Anthony with D. Watkins,Hardcover Nonfiction,7,4.8,629.0,14.0,9781982160593,Gallery,2021-10-03,1982160594
WILDLAND,Evan Osnos,Hardcover Nonfiction,8,4.7,585.0,18.6,9780374286675,"Farrar, Straus & Giroux",2021-10-03,0374286671
TRAVELS WITH GEORGE,Nathaniel Philbrick,Hardcover Nonfiction,12,4.4,428.0,14.99,9780525562177,Viking,2021-10-03,0525562176
THE NOISE,James Patterson and J.D. Barker,Hardcover Fiction,11,3.7,6133.0,0.0,9780316499873,"Little, Brown",2021-09-26,B096BLGTLB
THE NIGHT SHE DISAPPEARED,Lisa Jewell,Hardcover Fiction,10,4.4,8801.0,0.0,9781982137366,Atria,2021-09-26,B08WHGPGTQ
THE HERON'S CRY,Ann Cleeves,Hardcover Fiction,15,4.4,3810.0,14.99,9781250204479,Minotaur,2021-09-26,B08R2KFNRL
ROCK PAPER SCISSORS,Alice Feeney,Hardcover Fiction,6,5.0,10.0,0.0,9781250266101,Flatiron,2021-09-26,B09RMD6MQD
L.A. WEATHER,María Amparo Escandón,Hardcover Fiction,14,3.7,888.0,14.99,9781250802569,Flatiron,2021-09-26,B08QGL8XQ6
THIS BRIGHT FUTURE,Bob Hall,Hardcover Nonfiction,4,4.9,521.0,13.5,9781982158248,Simon & Schuster,2021-09-26,1982158247
CASTE,Isabel Wilkerson,Hardcover Nonfiction,14,4.8,37377.0,14.79,9780593230251,Random House,2021-09-26,0593230256
ORDINARY HEROES,Joseph Pfeifer,Hardcover Nonfiction,13,4.8,710.0,16.59,9780593330258,Portfolio,2021-09-26,0593330250
THE AFGHANISTAN PAPERS,Craig Whitlock,Hardcover Nonfiction,6,4.6,1149.0,14.99,9781982159009,Simon & Schuster,2021-09-26,1982159006
FOREVER YOUNG,Hayley Mills,Hardcover Nonfiction,9,4.5,1108.0,21.58,9781538704196,Grand Central,2021-09-26,1538704196
THE AMERICAN EXPERIMENT,David M. Rubenstein,Hardcover Nonfiction,8,4.6,145.0,15.99,9781982165734,Simon & Schuster,2021-09-26,1982165731
THE RECKONING,Mary L. Trump,Hardcover Nonfiction,10,4.4,18.0,27.95,9781250278456,St. Martin's,2021-09-19,1643137999
EDUCATED,Tara Westover,Hardcover Nonfiction,11,4.7,59410.0,13.0,9780399590504,Random House,2021-09-19,0399590501
ALL IN,Billie Jean King with Johnette Howard and Maryanne Vollers,Hardcover Nonfiction,13,4.6,620.0,15.0,9781101947333,Knopf,2021-09-19,1101947330
THE PREMONITION,Michael Lewis,Hardcover Nonfiction,14,4.7,13350.0,13.75,9780393881554,Norton,2021-09-19,0393881555
"WOKE, INC.",Vivek Ramaswamy,Hardcover Nonfiction,15,4.7,1978.0,16.99,9781546090786,Center Street,2021-09-19,1546090789
DOPAMINE NATION,Anna Lembke,Hardcover Nonfiction,12,4.5,1112.0,0.0,9781524746728,Dutton,2021-09-19,B08LQZCGDJ
COMPLICATIONS,Danielle Steel,Hardcover Fiction,9,4.4,5458.0,14.99,9781984821492,Delacorte,2021-09-19,B08LMT1RZF
THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,Hardcover Fiction,14,4.5,2599.0,0.0,9780765387561,Tor/Forge,2021-09-19,B08PY23N5S
THE LOVE SONGS OF W.E.B. DU BOIS,Honorée Fanonne Jeffers,Hardcover Fiction,12,4.6,2295.0,14.99,9780062942937,Harper,2021-09-19,B08F7RSXPD
THE PRESIDENT'S DAUGHTER,Bill Clinton and James Patterson,Hardcover Fiction,11,4.6,21170.0,0.0,9780316540711,"Little, Brown",2021-09-19,B089DMG5M6
WE WERE NEVER HERE,Andrea Bartz,Hardcover Fiction,10,4.0,7051.0,13.99,9781984820464,Ballantine,2021-09-19,B08M31H56D
LIGHTNING STRIKE,William Kent Krueger,Hardcover Fiction,15,4.7,4930.0,12.99,9781982128685,Atria,2021-09-19,B08LDWY46J
THE MASTER,Christopher Clarey,Hardcover Nonfiction,8,4.6,459.0,21.0,9781538719268,Twelve,2021-09-12,1538719266
HERO OF TWO WORLDS,Mike Duncan,Hardcover Nonfiction,3,4.8,613.0,0.0,9781541730335,PublicAffairs,2021-09-12,B08TKXTKVY
BLOODLESS,Douglas Preston and Lincoln Child,Hardcover Fiction,10,4.4,7467.0,14.99,9781538736708,Grand Central,2021-09-12,B08PV5J8BT
I ALONE CAN FIX IT,Carol Leonnig and Philip Rucker,Hardcover Nonfiction,14,4.7,10947.0,14.42,9780593298947,Penguin Press,2021-09-12,0593298942
THE AUTHORITARIAN MOMENT,Ben Shapiro,Hardcover Nonfiction,12,4.9,2982.0,0.0,9780063001824,Broadside,2021-09-05,B08MLBTTJV
BREATHE,Rickson Gracie with Peter Maguire,Hardcover Nonfiction,14,4.8,1383.0,0.0,9780063018952,Dey Street,2021-09-05,B08X1JSBDZ
THE FOUR WINDS,Kristin Hannah,Hardcover Fiction,15,4.5,90123.0,0.0,9781250178602,St. Martin's,2021-09-05,B0882VNQKS
GOLDEN GIRL,Elin Hilderbrand,Hardcover Fiction,14,4.5,21419.0,14.5,9780316420082,"Little, Brown",2021-09-05,0316420085
THE CELLIST,Daniel Silva,Hardcover Fiction,12,4.0,20785.0,14.99,9780062834867,Harper,2021-09-05,B08L3NB7FL
CHASING THE BOOGEYMAN,Richard Chizmar,Hardcover Fiction,10,4.4,3121.0,14.99,9781982175160,Gallery,2021-09-05,B08LDY63RX
HOW I SAVED THE WORLD,Jesse Watters,Hardcover Nonfiction,15,4.7,10255.0,17.69,9780063049086,Broadside,2021-09-05,0063049082
GIANNIS,Mirin Fader,Hardcover Nonfiction,3,4.8,622.0,25.49,9780306924125,Hachette,2021-08-29,0306924129
"HERE, RIGHT MATTERS",Alexander Vindman,Hardcover Nonfiction,5,4.8,2130.0,13.49,9780063079427,Harper,2021-08-29,0063079429
THE BOMBER MAFIA,Malcolm Gladwell,Hardcover Nonfiction,13,5.0,1.0,89.72,9780316296618,"Little, Brown",2021-08-29,9124120162
KILLING THE MOB,Bill O'Reilly and Martin Dugard,Hardcover Nonfiction,15,4.6,10070.0,14.48,9781250273659,St. Martin's,2021-08-29,125027365X
BLACK ICE,Brad Thor,Hardcover Fiction,13,4.6,10681.0,14.99,9781982104122,Emily Bestler/Atria,2021-08-29,B08LDWSKZT
NOT A HAPPY FAMILY,Shari Lapena,Hardcover Fiction,11,4.2,8037.0,14.99,9781984880550,Pamela Dorman,2021-08-29,B08R1CZ966
BLIND TIGER,Sandra Brown,Hardcover Fiction,10,4.5,6282.0,14.99,9781538751961,Grand Central,2021-08-29,B08VJ3V57N
VORTEX,Catherine Coulter,Hardcover Fiction,9,4.7,6884.0,14.99,9780063004085,Morrow,2021-08-29,B08N18WD7Q
ALL THE FREQUENT TROUBLES OF OUR DAYS,Rebecca Donner,Hardcover Nonfiction,14,4.6,723.0,26.99,9780316561693,"Little, Brown",2021-08-22,031656169X
THIS IS YOUR MIND ON PLANTS,Michael Pollan,Hardcover Nonfiction,15,4.5,1588.0,0.0,9780593296905,Penguin Press,2021-08-22,B08RF1K2LD
AFTERPARTIES,Anthony Veasna So,Hardcover Fiction,14,4.4,416.0,17.99,9780063049901,Ecco,2021-08-22,0063049902
THE TURNOUT,Megan Abbott,Hardcover Fiction,13,3.7,1850.0,14.99,9780593084908,Putnam,2021-08-22,B08HY34S9N
WE ARE THE BRENNANS,Tracey Lange,Hardcover Fiction,11,4.1,3179.0,13.99,9781250796226,Celadon,2021-08-22,B08HHQHSNH
PUTTING IT TOGETHER,James Lapine,Hardcover Nonfiction,13,4.8,301.0,28.77,9780374200091,"Farrar, Straus & Giroux",2021-08-22,0374200092
ONCE THERE WERE WOLVES,Charlotte McConaghy,Hardcover Fiction,15,4.5,1954.0,13.99,9781250244147,Flatiron,2021-08-22,1250244145
THE MAIDENS,Alex Michaelides,Hardcover Fiction,10,4.3,1131.0,0.0,9781250304452,Celadon,2021-08-15,B07N9742J4
SOOLEY,John Grisham,Hardcover Fiction,13,4.5,30190.0,0.0,9780385547680,Doubleday,2021-08-15,B08TX4D8R5
"FRANKLY, WE DID WIN THIS ELECTION",Michael C. Bender,Hardcover Nonfiction,5,4.4,2857.0,0.0,9781538734803,Twelve,2021-08-15,B0977GT34X
LANDSLIDE,Michael Wolff,Hardcover Nonfiction,6,4.3,4421.0,14.99,9781250830012,Holt,2021-08-15,B092MY7HHD
THE PERSONAL LIBRARIAN,Marie Benedict and Victoria Christopher Murray,Hardcover Fiction,15,4.5,11502.0,18.88,9780593101537,Berkley,2021-08-15,0593101537
IT'S BETTER THIS WAY,Debbie Macomber,Hardcover Fiction,12,4.5,4075.0,12.99,9781984818782,Ballantine,2021-08-08,1953060250
FALLING,T.J. Newman,Hardcover Fiction,9,4.4,9414.0,13.3,9781982177881,Avid Reader,2021-08-08,1982177888
FALSE WITNESS,Karin Slaughter,Hardcover Fiction,8,4.4,7876.0,22.99,9780062858092,Morrow,2021-08-08,0062858092
THE ANTHROPOCENE REVIEWED,John Green,Hardcover Nonfiction,15,4.8,4402.0,0.0,9780525555216,Dutton,2021-08-08,B08GL11MDJ
SEPARATION GAMES,C D Reiss,E-Book Fiction,14,4.6,548.0,5.99,9781942833291,Flip City Media,2017-01-22,B01M6VGJTC
STATE OF FEAR,Michael Crichton,E-Book Fiction,13,4.3,3011.0,0.0,9780061752728,HarperCollins,2017-01-22,B000776JN8
THE HANDMAID'S TALE,Margaret Atwood,E-Book Fiction,10,4.4,51382.0,7.99,9780547345666,Houghton Mifflin Harcourt,2017-01-22,038549081X
COMMANDER IN CHIEF,Katy Evans,E-Book Fiction,8,4.4,577.0,4.99,9780997263640,KT Publishing,2017-01-22,B01M6ASIN1
SILVER BAY,Jojo Moyes,E-Book Fiction,6,4.3,3944.0,9.99,9780698156357,Penguin,2017-01-22,B00GSB2F5S
THE NORTH WATER,Ian McGuire,E-Book Fiction,5,4.3,2267.0,15.99,9781627795951,Henry Holt,2017-01-22,125011814X
DISTANT SHORES,Kristin Hannah,E-Book Fiction,3,4.4,4719.0,8.99,9780345459503,Ballantine,2017-01-22,B000FA64R8
THE TELOMERE EFFECT,Elizabeth Blackburn and Elissa Epel,E-Book Nonfiction,13,4.5,1042.0,15.99,9781455587964,Grand Central,2017-01-22,1455587974
SHOCKAHOLIC,Carrie Fisher,E-Book Nonfiction,12,4.5,740.0,0.0,9780743298490,Simon & Schuster,2017-01-22,B0061YBLCU
CRASH AND BURN,Fern Michaels,E-Book Fiction,4,4.7,1549.0,0.0,9781420140668,Zebra,2017-01-15,B01DRXCGDU
DARK MATTER,Blake Crouch,E-Book Fiction,6,4.5,14406.0,13.99,9781101904237,Broadway,2017-01-15,B0180T0IUY
LOVE WARRIOR,Glennon Doyle Melton,E-Book Nonfiction,12,4.6,5503.0,0.0,9781250075741,Flatiron,2017-01-15,B01BVU5IUE
TRULY MADLY GUILTY,Liane Moriarty,E-Book Fiction,3,4.0,10147.0,0.0,9781250069818,Flatiron,2017-01-15,B01GF36EF0
THE WRONG SIDE OF GOODBYE,Michael Connelly,E-Book Fiction,1,4.7,11767.0,9.99,9780316225953,"Little, Brown",2017-01-15,B01BU1ITMI
ALL THE UGLY AND WONDERFUL THINGS,Bryn Greenwood,E-Book Fiction,9,4.4,9332.0,8.59,9781466885806,Thomas Dunne,2017-01-15,1250153964
THE NIGHTINGALE,Kristin Hannah,E-Book Fiction,7,4.5,14.0,0.0,9781466850606,St. Martin's,2017-01-15,B09KQWZTHQ
THE ALCHEMIST,Paulo Coelho,E-Book Fiction,10,4.7,67078.0,8.89,9780062416216,HarperCollins,2017-01-15,0062315005
HOMEGOING,Yaa Gyasi,E-Book Fiction,11,4.6,13013.0,11.99,9781101947142,Knopf,2017-01-15,B015VACH4U
WHY NOT ME?,Mindy Kaling,E-Book Nonfiction,8,4.6,2973.0,0.0,9780804138154,Crown Archetype,2017-01-15,B00X690KZM
LAB GIRL,Hope Jahren,E-Book Nonfiction,7,4.5,2972.0,10.99,9781101874943,Knopf,2017-01-15,1101873728
DARK MONEY,Jane Mayer,E-Book Nonfiction,6,4.7,3393.0,0.0,9780385535601,Doubleday,2017-01-15,B01A7BVFZK
EVICTED,Matthew Desmond,E-Book Nonfiction,5,4.7,4951.0,10.99,9780553447446,Crown,2017-01-15,0553447459
THE DAILY SHOW (THE BOOK),Chris Smith,E-Book Nonfiction,4,4.6,472.0,0.0,9781455565351,Grand Central,2017-01-15,B01M8QIIUT
EVERYTHING FOR HER,Alexa Riley,E-Book Fiction,14,4.5,684.0,4.99,9781488022661,Carina Press,2017-01-15,B01K3QKWVW
THE NEST,Cynthia D'Aprix Sweeney,E-Book Fiction,13,3.8,4749.0,9.99,9780062414236,Ecco/HarperCollins,2017-01-15,B010LU8V8Q
THE TROUBLE WITH DUKES,Grace Burrowes,E-Book Fiction,12,4.3,426.0,0.0,9781455569946,Forever,2017-01-08,B01N3JM4S8
TURBO TWENTY-THREE,Janet Evanovich,E-Book Fiction,14,4.5,8327.0,7.99,9780345543028,Bantam,2017-01-08,B01B0K7EM0
THE HAMILTON AFFAIR,Elizabeth Cobbs,E-Book Fiction,15,4.5,2431.0,12.18,9781628727234,Arcade,2017-01-08,1628728558
THE UNDERGROUND RAILROAD,Colson Whitehead,E-Book Fiction,13,4.5,18043.0,12.41,9780385537049,Doubleday,2017-01-08,0345804325
SETTLE FOR MORE,Megyn Kelly,E-Book Nonfiction,15,4.3,2640.0,0.0,9780062494597,Harper/HarperCollins,2017-01-08,B01GGOJVL2
TALKING AS FAST AS I CAN,Lauren Graham,E-Book Nonfiction,14,4.3,18.0,23.43,9780425285183,Random House,2017-01-08,163758167X
SHOE DOG,Phil Knight,E-Book Nonfiction,11,4.8,19281.0,0.0,9781501135934,Scribner,2017-01-08,B01CRJA470
BORN TO RUN,Bruce Springsteen,E-Book Nonfiction,10,4.7,5166.0,0.0,9781501141539,Simon & Schuster,2017-01-08,B01BNVRATS
TV (THE BOOK),Alan Sepinwall and Matt Zoller Seitz,E-Book Nonfiction,9,4.5,218.0,11.49,9781455588206,Grand Central,2017-01-08,1455588199
NIGHT SCHOOL,Lee Child,E-Book Fiction,8,4.3,13956.0,9.99,9780804178815,Delacorte,2017-01-08,B019B6WTRU
TOM CLANCY TRUE FAITH AND ALLEGIANCE,Mark Greaney,E-Book Fiction,7,4.6,2935.0,9.99,9780698410664,Putnam,2017-01-08,B01CZCW4XG
ONE FELL SWEEP,Ilona Andrews,E-Book Fiction,2,4.8,2704.0,4.99,9781943772711,NYLA,2017-01-08,B01MSJJFAC
THE GIRL WITH THE LOWER BACK TATTOO,Amy Schumer,E-Book Nonfiction,13,4.4,3239.0,0.0,9781501139901,Gallery Books,2017-01-08,B01CPR9DIU
MAX,Sawyer Bennett,E-Book Fiction,6,4.7,500.0,7.99,9781101968116,Loveswept,2017-01-01,B01D7CP3OK
ISLAND OF GLASS,Nora Roberts,E-Book Fiction,11,4.8,4239.0,8.99,9780698190757,Berkley,2017-01-01,B01CZCW26K
DARK CRIME,Christine Feehan,E-Book Fiction,10,4.7,1062.0,2.99,9780451488701,Intermix,2017-01-01,B01C3PTT74
MOONSHADOW,Thea Harrison,E-Book Fiction,14,4.5,599.0,0.0,9780997120172,Teddy Harrison,2017-01-01,B01MU0NADE
NAUGHTY BOSS,Whitney G,E-Book Fiction,8,4.2,2295.0,0.0,9781942847045,WGW Books,2017-01-01,B01MRP9120
THE SANTA CLAUS MAN,Alex Palmer,E-Book Nonfiction,8,3.7,69.0,20.64,9781493018901,Lyons Press,2017-01-01,1493008447
LIGHT AFTER DARK,Marie Force,E-Book Fiction,2,4.8,803.0,4.99,9781946136039,HTJB,2017-01-01,B01N3LA31B
FILTHY RICH,James Patterson and John Connolly with Tim Malloy,E-Book Nonfiction,12,4.2,2540.0,10.3,9780316362450,"Little, Brown",2017-01-01,1455542644
THE SEVENTH PLAGUE,James Rollins,E-Book Fiction,1,4.6,1994.0,7.99,9780062381705,Morrow/HarperCollins,2017-01-01,B01D8K63NG
SUPERFICIAL,Andy Cohen,E-Book Nonfiction,12,4.1,691.0,0.0,9781250116475,Holt,2016-12-25,B01K5Q6WFK
ALL THE GALLANT MEN,Donald Stratton with Ken Gire,E-Book Nonfiction,6,4.8,1281.0,22.77,9780062645371,Morrow,2016-12-25,0062645358
THE CHRISTMAS MYSTERY,James Patterson with Richard DiLallo,E-Book Fiction,15,4.4,849.0,3.99,9780316319997,"Little, Brown",2016-12-25,B01DSTTRMG
MRS. HEMINGWAY,Naomi Wood,E-Book Fiction,12,4.2,821.0,4.99,9781101632093,Penguin,2016-12-25,B00FX7R8XW
SOMEONE LIKE YOU,Lauren Layne,E-Book Fiction,10,4.6,406.0,6.99,9781101884867,Loveswept,2016-12-25,B014BR4A3A
WOMANIZER,Katy Evans,E-Book Fiction,8,4.5,577.0,4.99,9780997263619,KT Publishing,2016-12-25,B01KYEL8YI
